alert_id,timestamp,alert_source,alert_type,severity,description,endpoint_id,endpoint_type,operating_system,user_role,department,endpoint_risk_score,user_risk_score,source_ip,destination_ip,country,process_name,parent_process,command_line,authentication_result,previous_alert_count,previous_incident_count,similar_alert_count,historical_false_positive_rate,historical_incident_rate,analyst_disposition,confirmed_incident,incident_type,investigation_reason,ground_truth,novelty_test_flag
A00001,2026-01-01 02:24:57,IAM,Multiple Failed Logins,High,"Repeated authentication failures observed from 10.161.59.178 on PC-0165, associated with security analyst account.",PC-0165,Database Server,Windows Server 2022,Security Analyst,Security,86,12,10.161.59.178,10.209.185.21,Australia,svchost.exe,cmd.exe,"svchost.exe (routine execution, no notable arguments)",Failed,0,0,1,0.71,0.32,False Positive,No,Security Tool Noise,Scheduled backup generated the alert,False Positive,No
A00002,2026-01-01 04:40:28,EDR,Malicious File Download,Medium,"File download from newly-registered domain flagged on PC-0115, in the Engineering environment.",PC-0115,Cloud VM,Ubuntu 22.04,Database Administrator,Engineering,48,54,10.60.41.105,10.75.253.162,Singapore,chrome.exe,explorer.exe,chrome.exe (download from newly-registered domain),Not Applicable,0,0,4,0.21,0.85,True Incident,Yes,Malware,Privilege escalation validated by IR team,True Incident,No
A00003,2026-01-01 10:00:57,Email Security,Phishing Email,Low,"Email security engine flagged a message with spoofed sender domain on PC-0018, during business hours.",PC-0018,Database Server,Windows Server 2022,Developer,Engineering,81,26,10.198.216.91,10.123.150.31,Australia,python.exe,cmd.exe,python.exe (flagged by behavioral detection rule),Not Applicable,0,0,2,0.37,0.6,True Incident,Yes,Phishing,Privilege escalation validated by IR team,True Incident,No
A00004,2026-01-01 11:54:01,Email Security,Phishing Email,Medium,"Email security engine flagged a message with spoofed sender domain on PC-0009, on host running Red Hat Enterprise Linux.",PC-0009,Database Server,Red Hat Enterprise Linux,IT Support,IT,75,40,192.168.42.39,192.168.189.173,Germany,chrome.exe,cmd.exe,"chrome.exe (routine execution, no notable arguments)",Not Applicable,0,0,1,0.4,0.64,False Positive,No,Benign Activity,Known security scanner triggered the rule,False Positive,No
A00005,2026-01-01 12:29:40,Firewall,Port Scan,Medium,"Network scanning behavior observed targeting internal subnet on PC-0165, in the Finance environment.",PC-0165,Database Server,Windows Server 2022,Finance User,Finance,86,13,192.168.73.11,192.168.107.111,United States,cmd.exe,winword.exe,"cmd.exe (routine execution, no notable arguments)",Not Applicable,1,0,2,0.86,0.11,False Positive,No,Legitimate Software,IT-managed patch deployment triggered the rule,False Positive,No
A00006,2026-01-01 12:40:19,SIEM,Suspicious DNS Query,Low,"DNS query to newly-observed domain from Web Server on PC-0200, correlated with parent process cmd.exe.",PC-0200,Web Server,Ubuntu 24.04,Developer,Engineering,55,47,10.105.86.8,192.168.20.246,United Kingdom,java.exe,cmd.exe,"java.exe (routine execution, no notable arguments)",Not Applicable,0,0,1,0.79,0.25,False Positive,No,Expected User Behavior,IT-managed patch deployment triggered the rule,False Positive,No
A00007,2026-01-01 15:08:22,IAM,Suspicious Login,Medium,"Login from unfamiliar device/browser fingerprint on PC-0134, in the Sales environment.",PC-0134,Employee Laptop,Windows 10,Employee,Sales,22,26,10.70.142.188,192.168.181.206,United States,java.exe,services.exe,"java.exe (routine execution, no notable arguments)",Failed,0,0,3,0.69,0.25,False Positive,No,Expected User Behavior,Recurring vendor maintenance window,False Positive,No
A00008,2026-01-01 15:15:30,Firewall,Abnormal Network Traffic,Medium,"Traffic volume deviates significantly from endpoint baseline on PC-0067, in the IT environment. — pattern not previously observed for this endpoint/alert-type combination",PC-0067,Cloud VM,Windows Server 2022,Database Administrator,IT,49,34,192.168.162.49,192.168.18.243,India,python.exe,services.exe,"python.exe (routine execution, no notable arguments)",Not Applicable,0,0,0,0.34,0.62,False Positive,No,Expected User Behavior,Scheduled backup generated the alert,False Positive,Yes
A00009,2026-01-01 21:13:37,Cloud Security,Suspicious Login,Low,"Login from unfamiliar device/browser fingerprint on PC-0049, per Cloud Security rule set.",PC-0049,Developer Workstation,Windows 11,Security Analyst,Security,34,19,192.168.109.1,10.251.106.182,Australia,chrome.exe,cmd.exe,"chrome.exe (routine execution, no notable arguments)",MFA Success,0,0,4,0.67,0.32,False Positive,No,Legitimate Software,IT-managed patch deployment triggered the rule,False Positive,No
A00010,2026-01-02 01:54:46,IAM,Suspicious Login,Low,"Login flagged due to unusual time-of-day pattern on PC-0160, in the IT environment.",PC-0160,Employee Laptop,Windows 10,System Administrator,IT,23,58,124.151.49.57,10.147.214.249,United States,cmd.exe,services.exe,cmd.exe (flagged by behavioral detection rule),Failed,0,0,2,0.61,0.4,True Incident,Yes,Unauthorized Access,Data exfiltration confirmed,True Incident,No
